file_path,genre
data/raw\reggae\reggae.00023.au,reggae
data/raw\country\country.00041.au,country
data/raw\classical\classical.00081.au,classical
data/raw\classical\classical.00003.au,classical
data/raw\hiphop\hiphop.00056.au,hiphop
data/raw\rock\rock.00097.au,rock
data/raw\disco\disco.00013.au,disco
data/raw\disco\disco.00071.au,disco
data/raw\rock\rock.00098.au,rock
data/raw\pop\pop.00046.au,pop
data/raw\jazz\jazz.00053.au,jazz
data/raw\pop\pop.00049.au,pop
data/raw\hiphop\hiphop.00032.au,hiphop
data/raw\metal\metal.00015.au,metal
data/raw\jazz\jazz.00058.au,jazz
data/raw\reggae\reggae.00072.au,reggae
data/raw\classical\classical.00091.au,classical
data/raw\reggae\reggae.00006.au,reggae
data/raw\metal\metal.00098.au,metal
data/raw\disco\disco.00076.au,disco
data/raw\pop\pop.00092.au,pop
data/raw\jazz\jazz.00066.au,jazz
data/raw\hiphop\hiphop.00053.au,hiphop
data/raw\country\country.00003.au,country
data/raw\metal\metal.00063.au,metal
data/raw\hiphop\hiphop.00092.au,hiphop
data/raw\blues\blues.00055.au,blues
data/raw\rock\rock.00004.au,rock
data/raw\blues\blues.00042.au,blues
data/raw\jazz\jazz.00071.au,jazz
data/raw\disco\disco.00061.au,disco
data/raw\jazz\jazz.00041.au,jazz
data/raw\pop\pop.00065.au,pop
data/raw\jazz\jazz.00000.au,jazz
data/raw\metal\metal.00099.au,metal
data/raw\pop\pop.00053.au,pop
data/raw\classical\classical.00023.au,classical
data/raw\metal\metal.00093.au,metal
data/raw\jazz\jazz.00016.au,jazz
data/raw\country\country.00082.au,country
data/raw\disco\disco.00098.au,disco
data/raw\blues\blues.00007.au,blues
data/raw\pop\pop.00055.au,pop
data/raw\country\country.00005.au,country
data/raw\disco\disco.00052.au,disco
data/raw\rock\rock.00096.au,rock
data/raw\pop\pop.00043.au,pop
data/raw\reggae\reggae.00091.au,reggae
data/raw\metal\metal.00094.au,metal
data/raw\metal\metal.00091.au,metal
data/raw\metal\metal.00092.au,metal
data/raw\country\country.00063.au,country
data/raw\hiphop\hiphop.00063.au,hiphop
data/raw\disco\disco.00031.au,disco
data/raw\jazz\jazz.00098.au,jazz
data/raw\jazz\jazz.00078.au,jazz
data/raw\disco\disco.00086.au,disco
data/raw\rock\rock.00059.au,rock
data/raw\reggae\reggae.00071.au,reggae
data/raw\hiphop\hiphop.00026.au,hiphop
data/raw\jazz\jazz.00026.au,jazz
data/raw\rock\rock.00010.au,rock
data/raw\disco\disco.00078.au,disco
data/raw\reggae\reggae.00039.au,reggae
data/raw\jazz\jazz.00085.au,jazz
data/raw\metal\metal.00075.au,metal
data/raw\reggae\reggae.00097.au,reggae
data/raw\rock\rock.00080.au,rock
data/raw\pop\pop.00070.au,pop
data/raw\country\country.00038.au,country
data/raw\reggae\reggae.00002.au,reggae
data/raw\hiphop\hiphop.00014.au,hiphop
data/raw\blues\blues.00013.au,blues
data/raw\metal\metal.00037.au,metal
data/raw\disco\disco.00065.au,disco
data/raw\rock\rock.00013.au,rock
data/raw\disco\disco.00017.au,disco
data/raw\pop\pop.00067.au,pop
data/raw\reggae\reggae.00017.au,reggae
data/raw\hiphop\hiphop.00028.au,hiphop
data/raw\country\country.00020.au,country
data/raw\reggae\reggae.00036.au,reggae
data/raw\metal\metal.00025.au,metal
data/raw\pop\pop.00063.au,pop
data/raw\blues\blues.00088.au,blues
data/raw\metal\metal.00022.au,metal
data/raw\classical\classical.00056.au,classical
data/raw\hiphop\hiphop.00009.au,hiphop
data/raw\rock\rock.00048.au,rock
data/raw\hiphop\hiphop.00088.au,hiphop
data/raw\disco\disco.00033.au,disco
data/raw\classical\classical.00079.au,classical
data/raw\rock\rock.00084.au,rock
data/raw\classical\classical.00087.au,classical
data/raw\blues\blues.00097.au,blues
data/raw\blues\blues.00093.au,blues
data/raw\disco\disco.00011.au,disco
data/raw\jazz\jazz.00087.au,jazz
data/raw\disco\disco.00001.au,disco
data/raw\country\country.00006.au,country
data/raw\rock\rock.00076.au,rock
